Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
119,25,4,15,8,Some Random Commen with Id 119
120,25,4,61,7,Some Random Commen with Id 120
121,25,4,1,1,Some Random Commen with Id 121
122,25,4,54,9,Some Random Commen with Id 122
123,25,4,15,3,Some Random Commen with Id 123
124,25,4,169,5,Some Random Commen with Id 124
125,25,4,137,4,Some Random Commen with Id 125
126,25,4,139,1,Some Random Commen with Id 126
127,26,1,75,1,Some Random Commen with Id 127
128,26,1,119,6,Some Random Commen with Id 128
129,28,7,137,2,Some Random Commen with Id 129
130,28,7,15,2,Some Random Commen with Id 130
131,28,7,164,2,Some Random Commen with Id 131
132,28,7,140,0,Some Random Commen with Id 132
133,28,7,118,0,Some Random Commen with Id 133
134,28,7,127,3,Some Random Commen with Id 134
135,29,5,60,9,Some Random Commen with Id 135
136,29,5,61,7,Some Random Commen with Id 136
137,29,5,183,4,Some Random Commen with Id 137
138,29,5,54,2,Some Random Commen with Id 138
139,29,5,158,8,Some Random Commen with Id 139
140,31,3,97,7,Some Random Commen with Id 140
141,31,3,170,4,Some Random Commen with Id 141
142,31,3,28,8,Some Random Commen with Id 142
143,31,3,109,6,Some Random Commen with Id 143
144,31,3,133,8,Some Random Commen with Id 144
145,32,6,94,8,Some Random Commen with Id 145
146,32,6,29,8,Some Random Commen with Id 146
147,33,9,87,5,Some Random Commen with Id 147
148,35,3,144,4,Some Random Commen with Id 148
149,35,3,9,5,Some Random Commen with Id 149
150,35,3,81,5,Some Random Commen with Id 150
151,36,1,44,3,Some Random Commen with Id 151
152,36,1,101,8,Some Random Commen with Id 152
153,36,1,79,8,Some Random Commen with Id 153
154,36,1,99,4,Some Random Commen with Id 154
155,36,1,183,6,Some Random Commen with Id 155
156,36,1,78,7,Some Random Commen with Id 156
157,37,5,48,8,Some Random Commen with Id 157
158,38,9,70,8,Some Random Commen with Id 158
159,38,9,56,4,Some Random Commen with Id 159
160,38,9,136,7,Some Random Commen with Id 160
161,38,9,22,1,Some Random Commen with Id 161
162,38,9,187,8,Some Random Commen with Id 162
163,38,9,59,4,Some Random Commen with Id 163
164,38,9,37,7,Some Random Commen with Id 164
165,38,9,31,7,Some Random Commen with Id 165
166,38,9,189,1,Some Random Commen with Id 166
167,39,4,76,0,Some Random Commen with Id 167
168,39,4,110,0,Some Random Commen with Id 168
