Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
53,17,5,105,0,Some Random Commen with Id 53
54,17,5,154,2,Some Random Commen with Id 54
55,17,5,76,1,Some Random Commen with Id 55
56,17,5,185,8,Some Random Commen with Id 56
57,17,5,169,4,Some Random Commen with Id 57
58,17,5,126,8,Some Random Commen with Id 58
59,17,5,149,0,Some Random Commen with Id 59
60,18,7,71,7,Some Random Commen with Id 60
61,18,7,12,2,Some Random Commen with Id 61
62,18,7,183,3,Some Random Commen with Id 62
63,18,7,18,4,Some Random Commen with Id 63
64,18,7,105,8,Some Random Commen with Id 64
65,18,7,168,6,Some Random Commen with Id 65
66,19,4,36,9,Some Random Commen with Id 66
67,19,4,37,1,Some Random Commen with Id 67
68,19,4,11,3,Some Random Commen with Id 68
69,19,4,83,4,Some Random Commen with Id 69
70,19,4,145,5,Some Random Commen with Id 70
71,19,4,45,4,Some Random Commen with Id 71
72,19,4,5,8,Some Random Commen with Id 72
73,19,4,183,2,Some Random Commen with Id 73
74,19,4,61,2,Some Random Commen with Id 74
75,20,0,146,2,Some Random Commen with Id 75
76,20,0,46,3,Some Random Commen with Id 76
77,20,0,178,3,Some Random Commen with Id 77
78,20,0,27,0,Some Random Commen with Id 78
79,20,0,174,7,Some Random Commen with Id 79
80,20,0,82,1,Some Random Commen with Id 80
81,20,0,40,5,Some Random Commen with Id 81
82,20,0,21,6,Some Random Commen with Id 82
83,20,0,51,0,Some Random Commen with Id 83
84,21,9,183,9,Some Random Commen with Id 84
85,21,9,41,3,Some Random Commen with Id 85
86,21,9,119,4,Some Random Commen with Id 86
87,21,9,186,4,Some Random Commen with Id 87
88,23,7,41,9,Some Random Commen with Id 88
89,23,7,60,1,Some Random Commen with Id 89
90,23,7,138,3,Some Random Commen with Id 90
91,23,7,150,4,Some Random Commen with Id 91
92,23,7,91,9,Some Random Commen with Id 92
93,23,7,118,9,Some Random Commen with Id 93
94,23,7,97,8,Some Random Commen with Id 94
95,25,0,164,5,Some Random Commen with Id 95
96,25,0,158,4,Some Random Commen with Id 96
97,25,0,129,2,Some Random Commen with Id 97
98,25,0,146,0,Some Random Commen with Id 98
99,25,0,164,1,Some Random Commen with Id 99
100,25,0,172,5,Some Random Commen with Id 100
101,26,3,173,7,Some Random Commen with Id 101
102,26,3,78,9,Some Random Commen with Id 102
103,26,3,166,1,Some Random Commen with Id 103
104,27,7,97,5,Some Random Commen with Id 104
105,27,7,123,9,Some Random Commen with Id 105
106,27,7,67,5,Some Random Commen with Id 106
107,27,7,27,3,Some Random Commen with Id 107
108,27,7,16,5,Some Random Commen with Id 108
109,28,3,3,7,Some Random Commen with Id 109
110,28,3,176,6,Some Random Commen with Id 110
111,28,3,9,4,Some Random Commen with Id 111
112,28,3,24,6,Some Random Commen with Id 112
113,28,3,73,3,Some Random Commen with Id 113
114,28,3,25,2,Some Random Commen with Id 114
115,28,3,114,4,Some Random Commen with Id 115
116,28,3,22,6,Some Random Commen with Id 116
117,28,3,169,8,Some Random Commen with Id 117
118,29,6,133,7,Some Random Commen with Id 118
119,29,6,107,2,Some Random Commen with Id 119
120,29,6,144,8,Some Random Commen with Id 120
121,29,6,114,9,Some Random Commen with Id 121
122,29,6,13,4,Some Random Commen with Id 122
123,29,6,66,6,Some Random Commen with Id 123
124,29,6,73,7,Some Random Commen with Id 124
125,31,0,90,3,Some Random Commen with Id 125
126,31,0,164,2,Some Random Commen with Id 126
127,31,0,151,6,Some Random Commen with Id 127
128,31,0,124,9,Some Random Commen with Id 128
129,31,0,138,8,Some Random Commen with Id 129
130,31,0,23,8,Some Random Commen with Id 130
131,31,0,130,9,Some Random Commen with Id 131
132,31,0,99,3,Some Random Commen with Id 132
133,31,0,68,3,Some Random Commen with Id 133
134,33,2,73,5,Some Random Commen with Id 134
135,33,2,115,2,Some Random Commen with Id 135
136,33,2,172,2,Some Random Commen with Id 136
137,33,2,62,0,Some Random Commen with Id 137
138,33,2,122,0,Some Random Commen with Id 138
139,34,0,34,5,Some Random Commen with Id 139
140,34,0,185,7,Some Random Commen with Id 140
141,34,0,183,9,Some Random Commen with Id 141
142,34,0,45,8,Some Random Commen with Id 142
143,34,0,12,1,Some Random Commen with Id 143
144,34,0,12,2,Some Random Commen with Id 144
145,34,0,199,3,Some Random Commen with Id 145
146,36,5,133,2,Some Random Commen with Id 146
147,36,5,47,8,Some Random Commen with Id 147
148,36,5,13,8,Some Random Commen with Id 148
149,36,5,9,9,Some Random Commen with Id 149
150,37,4,69,7,Some Random Commen with Id 150
151,37,4,169,4,Some Random Commen with Id 151
152,38,9,85,4,Some Random Commen with Id 152
153,38,9,86,2,Some Random Commen with Id 153
154,38,9,3,4,Some Random Commen with Id 154
155,38,9,94,4,Some Random Commen with Id 155
156,38,9,156,1,Some Random Commen with Id 156
157,38,9,109,8,Some Random Commen with Id 157
158,38,9,30,6,Some Random Commen with Id 158
159,39,6,152,7,Some Random Commen with Id 159
160,39,6,165,0,Some Random Commen with Id 160
